T,AU,TI,PY,T2,VL,SP,EP,DO,UR,AD,AB,KW,PB,SN,LA,J2,M3,DB,N1,TY,C7,IS,ST,C2
,"Xi, H.; Wu, X.; Chen, X.; Sha, P.",Artificial intelligent based energy scheduling of steel mill gas utilization system towards carbon neutrality,2021,Applied Energy,295,,,10.1016/j.apenergy.2021.117069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107674198&doi=10.1016%2fj.apenergy.2021.117069&partnerID=40&md5=8b15b9c00719e9c910b64dca9b098d7d,"Key Laboratory of Energy Thermal Conversion and Control of Ministry of Education, Southeast Univerisity, Nanjing, 210096, China","Steel industry contributes significantly to the world economy, but is highly energy intensive and CO2 intensive since the coal-based blast furnace route is dominant in steelmaking. Besides efficient utilization of the steel mill gases for power and heat supply, deploying technologies of carbon capture, utilization and renewable power is in urgent need for the transition of the steel industry towards carbon neutrality. To attain this goal, this paper develops a low-carbon steel mill gas utilization system with the integration of solvent-based carbon capture, methanol production based carbon utilization and renewable power. An artificial intelligent based optimal scheduling is then proposed to coordinate the interactions among gas, heat, electricity and carbon under variant weather and load conditions. Gradient boosted regression trees with Bayesian optimization is exploited to identify efficient surrogate models for the complex devices within the system. Heuristic search algorithm of particle swarm optimization is applied to find the low-carbon and economical scheduling within the entire scheduling period. Case studies show that the optimal scheduling can unlock complementary advantages among renewable energy, carbon capture and utilization, leading to 97% renewable energy curtailment reduction, 62% CO2 emission reduction and 126 tons of methanol production in 24 h. Sensitivity analyses are carried out to investigate the effects of additional coal consumption, renewable power installed capacity, CO2 emission penalty coefficient and CO2 capture constraint mode, providing broader insight into the operation of the steel mill gas utilization system towards carbon neutrality. © 2021 Elsevier Ltd",Artificial intelligent; Carbon capture and utilization; Carbon neutrality; Energy scheduling; Steel manufacture; Steel mill gas utilization system; Blast furnaces; Carbon capture; Carbon dioxide; Emission control; Methanol; Organic solvents; Particle swarm optimization (PSO); Scheduling; Sensitivity analysis; Steelmaking; Artificial intelligent; Carbon capture and utilization; Carbon neutralities; Energy; Energy scheduling; Gas utilization; Renewable Power; Steel manufacture; Steel mill gas utilization system; Utilization systems; alternative energy; artificial intelligence; carbon sequestration; energy use; mill; optimization; steel; Gases,Elsevier Ltd,03062619 (ISSN),English,Appl. Energy,Article,Scopus,"Export Date: 27 September 2024; Cited By: 47; Correspondence Address: X. Wu; Key Laboratory of Energy Thermal Conversion and Control of Ministry of Education, Southeast Univerisity, Nanjing, 210096, China; email: wux@seu.edu.cn; CODEN: APEND",JOUR,117069,,,
,"Mohamed, M.A.E.; Mohamed, S.M.R.; Saied, E.M.M.; Elsisi, M.; Su, C.-L.; Hadi, H.A.",Optimal Energy Management Solutions Using Artificial Intelligence Techniques for Photovoltaic Empowered Water Desalination Plants Under Cost Function Uncertainties,2022,IEEE Access,10,93646,93658,10.1109/ACCESS.2022.3203692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137586456&doi=10.1109%2fACCESS.2022.3203692&partnerID=40&md5=481459b0232d5f3ed6a99b17861ed04c,"Benha University, Faculty of Engineering at Shoubra, Electrical Engineering Department, Cairo, 11629, Egypt; Higher Technological Institute (HTI), 10th of Ramadan City, 44629, Egypt; National Kaohsiung University of Science and Technology, Department of Electrical Engineering, Kaohsiung, 805301, Taiwan","Two modern methods of the energy management system (EMS) based on a modified cost function are addressed in this paper. Fuzzy logic (FL) and Harris Hawks Optimization (HHO) is implemented to achieve the optimal performance of seawater desalination plants (SWDP) within the minimum feed-in tariff (FiT). The technical difficulties involved in the variation of energy price from one time to another and the system parameters uncertainties. For example, the price of energy is higher at the peak time and the price is lower at normal times. Also, the peak time can change from one day to another day. The proposed management system can deal with these variations and uncertainty cases. The suggested EMS is achieved through a bidirectional electrical energy interchange approach ( pi -EEIA). The main concept behind the proposed pi -EEIA is how and when to inject the excess generated energy of renewable energy into the utility grid or charge the battery depending on the minimum dynamic cost criterion and vice versa. To accomplish this study a 700 m3/day SWDP located in Egypt fed on solar energy and a utility network has been constructed and analyzed. The system includes SWDP fed from a photovoltaic (PV) array as well as the utility grid in addition to a battery energy storage system (BESS). The main objective of this study is the management and coordination between the energy exchange process from the solar energy, the utility network, and BESS to provide sufficient electrical energy for SWDP within the minimum FiT. The system is constructed and validated using the MATLAB/SIMULINK™ software package. The proposed FL and HHO-based EMSs are investigated in the presence of the system uncertainties such as the change in the energy (excess or shortage) as well as the change in the energy price in the utility network (high or low) with (normal or peak) time. The attained results demonstrate that the proposed FL and HHO-based EMSs provide high dynamic performance and accurate coordination between various energy resources and BESS. The results show that FL-based EMS achieves a profit of 10.28 but the HHO-based EMS achieves a profit of 10.11 in the same period.  © 2013 IEEE.",Hybrid system; management control system; power cost signal; PV~system; seawater desalination plants; Computer circuits; Cost functions; Costs; Desalination; Energy management; Energy management systems; Energy storage; Fuzzy logic; MATLAB; Secondary batteries; Solar energy; Battery; Energy; Fuzzy-Logic; Management control system; Microgrid; Optimisations; Photovoltaic systems; Power cost signal; Power costs; Seawater desalination plants; Hybrid systems,Institute of Electrical and Electronics Engineers Inc.,21693536 (ISSN),English,IEEE Access,Article,Scopus,"Export Date: 27 September 2024; Cited By: 33; Correspondence Address: C.-L. Su; National Kaohsiung University of Science and Technology, Department of Electrical Engineering, Kaohsiung, 805301, Taiwan; email: cls@nkust.edu.tw",JOUR,,,,
,"Zhang, L.; Wang, J.; Niu, X.; Liu, Z.",Ensemble wind speed forecasting with multi-objective Archimedes optimization algorithm and sub-model selection,2021,Applied Energy,301,,,10.1016/j.apenergy.2021.117449,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111333298&doi=10.1016%2fj.apenergy.2021.117449&partnerID=40&md5=b427a38f2e1c680c584821af40c01eea,"School of Statistics, Dongbei University of Finance and Economics, Dalian, 116025, China","Wind energy is becoming increasingly competitive and promising for renewable energy profiles. Accurate and reliable wind speed prediction is crucial for the effective exploitation of wind energy. However, previous studies have generally ignored the importance of capturing both linear and non-linear wind speed characteristics and selecting forecasting sub-models objectively, resulting in poor forecasting performance. To bridge these gaps, a novel ensemble forecasting system is proposed by integrating the decomposition strategy, sub-model selection, and ensemble point and interval prediction based on the newly proposed multi-objective Archimedes optimization algorithm, which has been demonstrated to be effective at the theoretical and empirical levels for providing reliable wind speed forecasting results. Based on hourly-resolution wind speed data from three datasets of Shandong Peninsula, China, three experiments and discussions are conducted. Simulation results demonstrate that the proposed system is capable of obtaining a high degree of precision and reliability for both point and interval forecasting relative to other comparative models. Thus, it can provide credible references for power system dispatching and management. © 2021 Elsevier Ltd",Artificial intelligence; Ensemble wind speed forecasting; Multi-objective Archimedes optimization algorithm; Sub-model selection; China; Shandong; Shandong Peninsula; Artificial intelligence; Genetic algorithms; Multiobjective optimization; Speed; Wind; Wind power; Algorithm model; Energy; Ensemble wind speed forecasting; Model Selection; Multi objective; Multi-objective archimede optimization algorithm; Optimization algorithms; Sub-model selection; Submodels; Wind speed forecasting; algorithm; alternative energy; power generation; simulation; weather forecasting; wind velocity; Forecasting,Elsevier Ltd,03062619 (ISSN),English,Appl. Energy,Article,Scopus,"Export Date: 27 September 2024; Cited By: 83; Correspondence Address: J. Wang; School of Statistics, Dongbei University of Finance and Economics, Dalian, 116025, China; email: wjz@lzu.edu.cn; CODEN: APEND",JOUR,117449,,,
,"Jegajothi, B.; Kathir, I.; Shukla, N.K.; Prakash, R.B.R.",Quasi-oppositional artificial algae optimization with adaptive neuro fuzzy inference based maximum power point tracking for PV systems,2023,Journal of Intelligent and Fuzzy Systems,45,4791,4805,10.3233/JIFS-223889,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169916220&doi=10.3233%2fJIFS-223889&partnerID=40&md5=2ae2c379fe6c526adaae4a62974fc1c2,"Department of ECE, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Science, Chennai, India; Department of Electrical and Electronics Engineering, V.S.B. Engineering College, Karur, India; Electrical Engineering Department, King Khalid University, Abha, Saudi Arabia; Department of Electrical and Electronics Engineering, Koneru Lakshmaiah Education Foundation, AP, Vaddeswaram, India","Because of environmental issues and energy crises, significant attention has been received in the domain of renewable and clean energy systems. Solar energy is the most effective source of renewable energy technologies. Recently, photovoltaic (PV) system have become common in grid-linked applications and plays a vital part in power production. MPPT algorithms enable PV systems to capture the maximum available power from the solar panels, regardless of variations in solar irradiance, temperature, and other environmental factors. By continuously tracking the MPP, MPPT techniques ensure that the PV system operates at its highest efficiency, resulting in increased energy harvesting and improved overall performance. Meanwhile, the frequent modifications in irradiance and temperature pose a major challenging issue which can be resolved by the use of artificial intelligence MPPT methodologies like artificial neural networks (ANN), fuzzy logic (FL), and metaheuristics systems. In this aspect, this work presents a new quasi-oppositional artificial algae optimization (QOAAO) with an adaptive neuro-fuzzy inference system (ANFIS) technique, named QOAAO-ANFIS for maximum efficiency MPPT technique for minimizing the present ripple and power oscillations over the MPP. The presented QOAAO-ANFIS model mainly depends upon the integration of the ANFIS and QOHOA techniques. In addition, the presented QOAAO-ANFIS model involves optimal MF selection of the ANFIS model to estimate the irradiation level and compute PV voltage equivalent to maximal power point. The QOAAO model can be utilized for enhancing the optimization process of membership function variables under varying conditions and awareness of global optima. The simulation result analysis of the QOAAO-ANFIS model takes place in terms of different evaluation measures. Extensive comparative results reported the better performance of the QOAAO-ANFIS model with maximum tracking efficiency of 99.89% and a minimum convergence time of 13.51ms.  © 2023 - IOS Press. All rights reserved.",artificial intelligence; fuzzy logic controller; maximum power point tracking; Membership function; photovoltaic systems; Algae; Computer circuits; Energy harvesting; Energy policy; Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Maximum power point trackers; Optimization; Solar energy; Solar panels; Solar power generation; Adaptive neuro-fuzzy inference; Environmental energy; Fuzzy logic controllers; Maximum Power Point Tracking; Memberships function; Neuro-fuzzy inference systems; Optimisations; Performance; Photovoltaic systems; System models; Membership functions,IOS Press BV,10641246 (ISSN),English,J. Intelligent Fuzzy Syst.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: B. Jegajothi; Department of ECE, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Science, Chennai, 605102, India; email: jegajothisudhakar@gmail.com",JOUR,,3,,
,"Agostinelli, S.; Cumo, F.; Guidi, G.; Tomazzoli, C.",Cyber-physical systems improving building energy management: Digital twin and artificial intelligence,2021,Energies,14,,,10.3390/en14082338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106177854&doi=10.3390%2fen14082338&partnerID=40&md5=c5ff3a26ef3b7ed2872948bc6dfbd3f0,"CITERA Interdepartmental Centre, Sapienza University of Rome, Rome, 00197, Italy; National Agency for New Technologies, Energy and Sustainable Economic Development, Rome, 00123, Italy; Computer Science Department, University of Verona, Verona, 37129, Italy","The research explores the potential of digital-twin-based methods and approaches aimed at achieving an intelligent optimization and automation system for energy management of a residential district through the use of three-dimensional data model integrated with Internet of Things, artificial intelligence and machine learning. The case study is focused on Rinascimento III in Rome, an area consisting of 16 eight-floor buildings with 216 apartment units powered by 70% of self-renewable energy. The combined use of integrated dynamic analysis algorithms has allowed the evaluation of different scenarios of energy efficiency intervention aimed at achieving a virtuous energy management of the complex, keeping the actual internal comfort and climate conditions. Meanwhile, the objective is also to plan and deploy a cost-effective IT (information technology) infrastructure able to provide reliable data using edge-computing paradigm. Therefore, the developed methodology led to the evaluation of the effectiveness and efficiency of integrative systems for renewable energy production from solar energy necessary to raise the threshold of self-produced energy, meeting the nZEB (near zero energy buildings) requirements. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Artificial intelligence; Digital construction; Digital twin; Edge computing; Energy efficiency; Energy management; NZEB; Artificial intelligence; Automation; Cost effectiveness; Cyber Physical System; Digital twin; Embedded systems; Energy management; Energy management systems; Information management; Solar buildings; Solar energy; Solar power generation; Zero energy buildings; Analysis algorithms; Automation systems; Building energy managements; Effectiveness and efficiencies; Intelligent optimization; Renewable energies; Residential districts; Three-dimensional data; Energy efficiency,MDPI AG,19961073 (ISSN),English,Energies,Article,Scopus,"Export Date: 27 September 2024; Cited By: 118; Correspondence Address: S. Agostinelli; CITERA Interdepartmental Centre, Sapienza University of Rome, Rome, 00197, Italy; email: sofia.agostinelli@uniroma1.it",JOUR,2338,8,,
,"Chen, Y.; Feng, G.; Chen, H.; Gou, L.; He, W.; Meng, X.",A multi-objective honey badger approach for energy efficiency enhancement of the hybrid pressure retarded osmosis and photovoltaic thermal system,2023,Journal of Energy Storage,59,,,10.1016/j.est.2022.106468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145774510&doi=10.1016%2fj.est.2022.106468&partnerID=40&md5=fc90bb0b1a0a1e10a7646f0421d9ac9c,"School of Automation, Northwestern Polytechnical University, Xi'an, China; School of Engineering, University of Warwick, Coventry, United Kingdom","The pressure retarded osmosis process is emerging as one of the most promising technologies for extracting renewable energy from salinity gradient resources. The hybrid system of the pressure retarded osmosis and photovoltaic/thermal systems is capable of effectively improving overall energy efficiency. The prime research focus of hybrid energy systems is to produce environment-friendly solutions by minimizing energy consumption and improving energy efficiency. Due to the increasing demand for intelligent computing, the challenges of maximum power extraction and efficient energy management have attracted the attention of researchers around the world. Thus, a Honey Badger Approach based energy management strategy is proposed to solve the problem of performance enhancement in the pressure retarded osmosis and photovoltaic/thermal system by maximizing the multi-variable functions. The Honey badger approach uses global sight to tackle the optimization of multiple objectives and to achieve optimal solutions. The proposed energy management method is tested with various types of operational environments, including variations in the operational temperature, solar irradiance and ambient temperature in regard to detrimental effects. The practical hourly data of Perth for a year is utilized to simulate the actual operating conditions. The simulation results indicate that the proposed energy management method overwhelms other competing approaches with better energy efficiency, thereby ensuring the continuity of energy supply and improving the reliability of the system. © 2022 Elsevier Ltd",Energy management; Honey badger approach; Hybrid system; Optimization; Renewable energy; Artificial intelligence; Energy efficiency; Energy management systems; Energy utilization; Food products; Green computing; Hybrid systems; Osmosis; Efficiency enhancement; Honey badger approach; Management method; Multi objective; Optimisations; Overall energy efficiency; Photovoltaic/thermal systems; Renewable energies; Research focus; Salinity gradients; Energy management,Elsevier Ltd,2352152X (ISSN),English,J. Energy Storage,Article,Scopus,"Export Date: 27 September 2024; Cited By: 5; Correspondence Address: X. Meng; School of Automation, Northwestern Polytechnical University, Xi'an, China; email: mengxl@nwpu.edu.cn",JOUR,106468,,,
,"Fotopoulou, M.; Rakopoulos, D.; Petridis, S.",Decision Support System for Emergencies in Microgrids,2022,Sensors,22,,,10.3390/s22239457,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143761118&doi=10.3390%2fs22239457&partnerID=40&md5=7820f2a693bdc9533067626af75c7e82,"Centre for Research and Technology Hellas, Chemical Process and Energy Resources Institute, 52 Egialias Str, Athens, GR-15125, Greece","The usual operation of a microgrid (MG) may often be challenged by emergencies related to extreme weather conditions and technical issues. As a result, the operator often needs to adapt the MG’s management by either: (i) excluding disconnected components, (ii) switching to islanded mode or (iii) performing a black start, which is required in case of a blackout, followed by either direct reconnection to the main grid or islanded operation. The purpose of this paper is to present an optimal Decision Support System (DSS) that assists the MG’s operator in all the main possible sorts of emergencies, thus providing an inclusive solution. The objective of the optimizer, developed in Pyomo, is to maximize the autonomy of the MG, prioritizing its renewable production. Therefore, the DSS is in line with the purpose of the ongoing energy transition. Furthermore, it is capable of taking into account multiple sorts of Distributed Energy Resources (DER), including Renewable Energy Sources (RES), Battery Energy Storage Systems (BESS)—which can only be charged with renewable energy—and local, fuel-based generators. The proposed DSS is applied in a number of emergencies considering grid-forming and grid-following mode, in order to highlight its effectiveness and is verified with the use of PowerFactory, DIgSILENT. © 2022 by the authors.",autonomy; batteries; black start; blackout; decision support system; emergency; energy management system; islanded mode; microgrid; optimization; renewables; Cell Movement; Computer Systems; Electric Power Supplies; Records; Renewable Energy; Artificial intelligence; Decision making; Electric batteries; Energy management systems; Fuel storage; Renewable energy resources; Autonomy; Battery; Black start; Blackout; Emergency; Extreme weather conditions; Islanded mode; Microgrid; Optimisations; Renewables; cell motion; computer system; information processing; power supply; renewable energy; Decision support systems,MDPI,14248220 (ISSN),English,Sensors,Article,Scopus,"Export Date: 27 September 2024; Cited By: 10; Correspondence Address: D. Rakopoulos; Centre for Research and Technology Hellas, Chemical Process and Energy Resources Institute, Athens, 52 Egialias Str, GR-15125, Greece; email: rakopoulos@certh.gr",JOUR,9457,23,,36502161
,"Waleed, U.; Haseeb, A.; Ashraf, M.M.; Siddiq, F.; Rafiq, M.; Shafique, M.",A Multiobjective Artificial-Hummingbird-Algorithm-Based Framework for Optimal Reactive Power Dispatch Considering Renewable Energy Sources,2022,Energies,15,,,10.3390/en15239250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143756574&doi=10.3390%2fen15239250&partnerID=40&md5=a1b40d1e9006736a40d6a37f5e7e750e,"Faculty of Electrical Engineering, Ghulam Ishaq Khan Institute of Engineering Sciences and Technology, Topi, 23460, Pakistan; Department of Electrical Engineering, University of Engineering and Technology, Taxila, 47050, Pakistan; Department of Civil and Environmental Engineering, Brunel University London, Uxbridge, UB8 3PH, United Kingdom","This paper proposes a new artificial hummingbird algorithm (AHA)-based framework to investigate the optimal reactive power dispatch (ORPD) problem which is a critical problem in the capacity of power systems. This paper aims to improve the performance of power systems by minimizing two distinct objective functions namely active power loss in the transmission network and total voltage deviation at the load buses subjected to various constraints within multiobjective framework. The proposed AHA-based framework maps the inherent flight and foraging capabilities exhibited by hummingbirds in nature to determine the best settings for the control variables (i.e., voltages at generation buses, the tap positions of on-load tap-changing transformers (OLTCs) and the size of switchable shunt VAR compensators) to minimize the overall objective functions. A multiobjective optimal reactive power dispatch framework (MO-ORPD) considering renewable energy sources (RES) and load uncertainties is also proposed to minimize the individual objectives simultaneously. The competency and robustness of the proposed AHA-based framework is validated and tested on IEEE 14 bus and IEEE 39 bus test systems to solve the ORPD problem. Eventually, the results are compared with other well-known optimization techniques in the literature. Box plots and statistical tests using SPSS are performed and validated to justify the effectiveness of the proposed framework. © 2022 by the authors.",artificial hummingbird algorithm; artificial intelligence; on-load tap-changing transformer; optimal power flow; optimal reactive power dispatch; Electric load dispatching; Electric load flow; Electric power transmission; Natural resources; Reactive power; Renewable energy resources; Taps; Value engineering; Artificial hummingbird algorithm; Critical problems; Dispatch problems; Multi objective; Objective functions; On-load Tap changing transformers; Optimal power flows; Optimal reactive power dispatch; Power; Renewable energy source; Electric power transmission networks,MDPI,19961073 (ISSN),English,Energies,Article,Scopus,"Export Date: 27 September 2024; Cited By: 13; Correspondence Address: M. Rafiq; Department of Electrical Engineering, University of Engineering and Technology, Taxila, 47050, Pakistan; email: muhammad.rafiq@uettaxila.edu.pk",JOUR,9250,23,,
,"Abo-Elyousr, F.K.; Guerrero, J.M.; Ramadan, H.S.",Prospective hydrogen-based microgrid systems for optimal leverage via metaheuristic approaches,2021,Applied Energy,300,,,10.1016/j.apenergy.2021.117384,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110418103&doi=10.1016%2fj.apenergy.2021.117384&partnerID=40&md5=6a74e0aa2ce54132589b4876c0a29d22,"Electrical Engineering Department, Faculty of Engineering, Assiut University, Assiut, 71515, Egypt; Center for Research on Microgrids (CROM), Department of Energy Technology, Aalborg University, Aalborg, Denmark; ISTHY, l'Institut International sur le Stockage de l'Hydrogène, Meroux-Moval, 90400, France; Electrical Power and Machines Department, Faculty of Engineering, Zagazig University, Zagazig, Egypt","The paper proposes a hybrid microgrid (HMG) system with solar modules and wind turbines as primary energy sources and a diesel engine as backup. Meanwhile, the hydrogen energy storage system (HySS) is utilized as energy storage. Firstly, by reducing the levelized cost of energy (COE), this study presents the optimal size and configuration of various renewable and distributed energy resources in HMG systems. Secondly, two novel modified hybridized particle swarm optimization (PSO) and ant colony optimization (ACO) are developed, namely, ACO initialized PSO and ACO updated PSO. The optimal simulation results using PSO and ACO metaheuristic technique either individually or hybridized are compared in terms of primarily minimizing the levelized COE and achieving short execution time. Thirdly, to verify the geographical-independency of the integration of HySS for producing onsite green hydrogen locally, the estimation performance is examined for three different locations in Egypt, Mozambique and Denmark respectively using hourly meteorological and load data in 2019. Sensitivity and effectiveness analysis are carried out to highlight the major parameters that impact HySS incorporation. Finally, the system readiness level together with the different hydrogen, economy barriers constraints, limitations and risks are investigated based on the technology readiness level and the integration readiness level indices. The simulation results demonstrate the superiority of the ACO updated PSO optimization algorithm towards minimizing the levelized COE in the different regions. In the developing countries, the salvage market supports HySS integration. At system readiness levels range between 0.65 and 0.94, versatile HySS integration is verified. © 2021 Elsevier Ltd",Ant colony; Barriers; Economic feasibility; Greenhouse gas emissions; Hybrid microgrids; Hydrogen economy; Hydrogen storage; Particle swarm optimization; risks; Ant colony optimization; Artificial intelligence; Developing countries; Diesel engines; Digital storage; Gas emissions; Greenhouse gases; Hydrogen storage; Integration; Particle size analysis; Renewable energy resources; Ant colonies; Barrier; Economic feasibilities; Greenhouse gas emissions; Hybrid microgrid; Hydrogen economy; Hydrogen energy storages; Particle swarm; Storage systems; Swarm optimization; diesel engine; energy storage; heuristics; hydrogen; optimization; simulation; Particle swarm optimization (PSO),Elsevier Ltd,03062619 (ISSN),English,Appl. Energy,Article,Scopus,"Export Date: 27 September 2024; Cited By: 42; Correspondence Address: F.K. Abo-Elyousr; Electrical Engineering Department, Faculty of Engineering, Assiut University, Assiut, 71515, Egypt; email: farag@aun.edu.eg; CODEN: APEND",JOUR,117384,,,
,"Wang, T.; Tang, Y.; Wang, B.; Huang, Y.; Guo, Q.; Chen, X.; Wen, J.; Li, W.","Traditional Methods Versus Artificial Intelligence: Optimization Algorithms for Power Flow Control in State of the Art, Challenge and Future Directions",2023,Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,43,1799,1817,10.13334/j.0258-8013.pcsee.220018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152189532&doi=10.13334%2fj.0258-8013.pcsee.220018&partnerID=40&md5=99a9572f6135e00bb09db8128c26dadd,"Laboratory of Power Grid Safety and Energy Conservation, China Electric Power Research Institute, Haidian District, Beijing, 100192, China","The optimization problem is one of the most common problems in the power system field, and most engineering problems can be attributed to optimization problems. In order to solve these optimization problems, various optimization algorithms have been proposed. However, with the rapid improvement of human needs and highly renewable energy penetrations, highly complex optimization problems appear constantly, making the traditional optimization algorithm challenging to meet the needs in accuracy and speed. In recent years, the development of a new generation of artificial intelligence (AI) has created a new opportunity to upgrade optimization algorithms. Smart grid is the future development direction of the power grid, which has high demand in security, stability, reliability, elasticity, sustainability, and efficiency. Due to these requirements, smart grid is a highly complex optimization problem with multiple objectives and constraints, in which the most typical problem is power flow control. Many researchers have been committed to solving various power flow control problems, whether using traditional or modern AI optimization algorithms. This paper aims to give a comprehensive and clear picture of recent advances in this research area. First, the evolution process, classification, and state-of-the-art methodologies of optimization algorithms are introduce. Then, a comprehensive review of traditional and modern AI optimization applications to control solvability, power and frequency, voltage, security, and stability is given. These applications have achieved good performance. Nevertheless, some critical challenges in efficiency, interpretability, transferability, stability, economy, and robustness are put forward. To overcome these challenges, critical potential directions in future research to make modern AI optimization more suitable for practical engineering are given. © 2023 Chin.Soc.for Elec.Eng.",artificial intelligence; deep reinforcement learning; optimization; power flow; traditional methods; Deep learning; Electric load flow; Electric power system control; Flow control; Optimization; Power control; Smart power grids; Deep reinforcement learning; Optimisations; Optimization algorithms; Optimization problems; Power; Power flow controls; Power flows; Reinforcement learnings; State of the art; Traditional method; Reinforcement learning,Chinese Society for Electrical Engineering,02588013 (ISSN),Chinese,Zhongguo Dianji Gongcheng Xuebao,Article,Scopus,Export Date: 27 September 2024; Cited By: 5; CODEN: ZDGXE,JOUR,,5,传统方法与人工智能：潮流控制优化算法的现状、挑战与未来方向,
,"Kumar, A.; Alaraj, M.; Rizwan, M.; Nangia, U.",Novel AI Based Energy Management System for Smart Grid with RES Integration,2021,IEEE Access,9,162530,162542,10.1109/ACCESS.2021.3131502,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120569201&doi=10.1109%2fACCESS.2021.3131502&partnerID=40&md5=39f6b8f2e4f00cfde133af06f3b156ee,"Department of Electrical Engineering, Delhi Technological University, New Delhi, 110042, India; Department of Electrical Engineering, College of Engineering, Qassim University, Qassim, Buraydah, 52571, Saudi Arabia","The different energy assets such as solar panels and batteries help electrical engineers to manage and meet the increasing demand. The amalgamation of renewable energy resources with artificial intelligence is the key focus of providing high energy efficiency with alternative sources. This solution will not only meet electricity demand but also help in reducing greenhouse gas emissions as a result the efficient, sustainable and eco-friendly solution can be achieved which would contribute a lot to the smart grid environment. Here, a modified grey wolf optimizer approach is utilized to develop a novel energy management system for SPV-based microgrid considering modern power grid interactions. The proposed approach aims to provide a proficient microgrid that utilizes solar photovoltaic technology, and energy storage systems using an artificial intelligence algorithm-based microgrid control for optimal dispatch of energy in grid-connected systems. The performance of this novel energy management system is validated under sunny day and cloudy day, to emulate the stochastic nature of solar photovoltaic systems. A comparative study with mixed linear programming is also conducted that indicates towards the savings in 23.34% and 45.55% of the rolling cost for a clear and cloudy day respectively. © 2013 IEEE.",artificial intelligence; energy storage system; microgrid; optimization technique; renewable energy resources; Smart grid; Artificial intelligence; Electric batteries; Electric energy storage; Electric power transmission networks; Energy efficiency; Energy management systems; Gas emissions; Greenhouse gases; Linear programming; Metals; Photovoltaic cells; Renewable energy resources; Smart power grids; Solar concentrators; Solar power generation; Stochastic systems; Energy; Energy storage system; Load modeling; Microgrid; Optimisations; Optimization techniques; Renewable energy source; Smart grid; Storage systems; Energy management,Institute of Electrical and Electronics Engineers Inc.,21693536 (ISSN),English,IEEE Access,Article,Scopus,"Export Date: 27 September 2024; Cited By: 19; Correspondence Address: A. Kumar; Department of Electrical Engineering, Delhi Technological University, New Delhi, 110042, India; email: astitvakumar_phd2k16@dtu.ac.in",JOUR,,,,
